run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220622-00:14:19-28299,runattr,,,configname,General,,,
General-0-20220622-00:14:19-28299,runattr,,,datetime,20220622-00:14:19,,,
General-0-20220622-00:14:19-28299,runattr,,,experiment,General,,,
General-0-20220622-00:14:19-28299,runattr,,,inifile,omnetpp.ini,,,
General-0-20220622-00:14:19-28299,runattr,,,iterationvars,,,,
General-0-20220622-00:14:19-28299,runattr,,,iterationvarsf,,,,
General-0-20220622-00:14:19-28299,runattr,,,measurement,,,,
General-0-20220622-00:14:19-28299,runattr,,,network,Network,,,
General-0-20220622-00:14:19-28299,runattr,,,processid,28299,,,
General-0-20220622-00:14:19-28299,runattr,,,repetition,0,,,
General-0-20220622-00:14:19-28299,runattr,,,replication,#0,,,
General-0-20220622-00:14:19-28299,runattr,,,resultdir,results,,,
General-0-20220622-00:14:19-28299,runattr,,,runnumber,0,,,
General-0-20220622-00:14:19-28299,runattr,,,seedset,0,,,
General-0-20220622-00:14:19-28299,param,,,Network.**.app.amountHosts,8,,,
General-0-20220622-00:14:19-28299,param,,,"Network.node[{0,",2}].app.interArrivalTime,,,
General-0-20220622-00:14:19-28299,param,,,"Network.node[{0,",2}].app.packetByteSize,,,
General-0-20220622-00:14:19-28299,param,,,"Network.node[{0,",2}].app.destination,,,
General-0-20220622-00:14:19-28299,vector,Network.node[0].app,Delay,,,,"0","0"
General-0-20220622-00:14:19-28299,vector,Network.node[0].app,Hops,,,,"0","0"
